Local time,Open,High,Low,Close,Volume
25.06.2024 23:00:00.000 GMT+0200,2.8542,2.8561,2.7271,2.7331,3.1902
26.06.2024 23:00:00.000 GMT+0200,2.7271,2.7779,2.6710,2.6940,3.3287999999999998
27.06.2024 23:00:00.000 GMT+0200,2.6972,2.7617,2.5927,2.5957,3.8146999999999998
28.06.2024 23:00:00.000 GMT+0200,2.5957,2.5957,2.5957,2.5957,0
29.06.2024 23:00:00.000 GMT+0200,2.5957,2.5957,2.5957,2.5957,0
30.06.2024 23:00:00.000 GMT+0200,2.5599,2.5962,2.4659,2.4731,4.3208
01.07.2024 23:00:00.000 GMT+0200,2.4670,2.4787,2.4130,2.4612,3.7084
02.07.2024 23:00:00.000 GMT+0200,2.4571,2.4771,2.4079,2.4130,3.1726999999999994
03.07.2024 23:00:00.000 GMT+0200,2.4161,2.4347,2.3329,2.3789,1.2517
04.07.2024 23:00:00.000 GMT+0200,2.3690,2.4019,2.3137,2.3232,3.6367
05.07.2024 23:00:00.000 GMT+0200,2.3232,2.3232,2.3232,2.3232,0
06.07.2024 23:00:00.000 GMT+0200,2.3232,2.3232,2.3232,2.3232,0
07.07.2024 23:00:00.000 GMT+0200,2.2731,2.3872,2.2642,2.3677,3.9419
08.07.2024 23:00:00.000 GMT+0200,2.3657,2.4457,2.3289,2.3452,3.3657999999999992
09.07.2024 23:00:00.000 GMT+0200,2.3471,2.3827,2.2901,2.3182,3.7998
10.07.2024 23:00:00.000 GMT+0200,2.3190,2.3377,2.2599,2.2637,3.8659000000000003
11.07.2024 23:00:00.000 GMT+0200,2.2659,2.3477,2.2430,2.3077,3.8267999999999995
12.07.2024 23:00:00.000 GMT+0200,2.3077,2.3077,2.3077,2.3077,0
13.07.2024 23:00:00.000 GMT+0200,2.3077,2.3077,2.3077,2.3077,0
14.07.2024 23:00:00.000 GMT+0200,2.2601,2.2812,2.1450,2.1661,6.309500000000001
15.07.2024 23:00:00.000 GMT+0200,2.1670,2.2142,2.1447,2.1741,4.3014
16.07.2024 23:00:00.000 GMT+0200,2.1739,2.2057,2.0139,2.0491,5.849500000000001
17.07.2024 23:00:00.000 GMT+0200,2.0451,2.1317,2.0210,2.0921,4.4702
18.07.2024 23:00:00.000 GMT+0200,2.0849,2.1407,2.0550,2.1182,3.068
19.07.2024 23:00:00.000 GMT+0200,2.1182,2.1182,2.1182,2.1182,0
20.07.2024 23:00:00.000 GMT+0200,2.1182,2.1182,2.1182,2.1182,0
21.07.2024 23:00:00.000 GMT+0200,2.0960,2.2672,2.0960,2.2277,5.259900000000001
22.07.2024 23:00:00.000 GMT+0200,2.2347,2.2597,2.1182,2.1469,3.5112999999999994
23.07.2024 23:00:00.000 GMT+0200,2.1870,2.2027,2.1360,2.1559,3.2565
24.07.2024 23:00:00.000 GMT+0200,2.1580,2.1872,2.0622,2.0757,3.5909000000000004
25.07.2024 23:00:00.000 GMT+0200,2.0727,2.0902,2.0339,2.0357,3.6779999999999995
26.07.2024 23:00:00.000 GMT+0200,2.0357,2.0357,2.0357,2.0357,0
27.07.2024 23:00:00.000 GMT+0200,2.0357,2.0357,2.0357,2.0357,0
28.07.2024 23:00:00.000 GMT+0200,2.0529,2.0961,1.9981,2.0620,4.0168
29.07.2024 23:00:00.000 GMT+0200,2.0592,2.1332,1.9889,2.1207,3.8515
